Vernier Format 2
robotVelData.cmbl 11/14/2019 22:07:14 .
Data Set
X	Y1	W	Z2	Y2	Z1
x	y1	w	z2	y2	z1
					

13090	 	13090	 	 	 
13100	 	13100	 	 	 
13110	 	13110	 	 	 
13120	 	13120	 	 	 
13130	 	13130	 	 	 
13140	 	13140	 	 	 
13150	 	13150	 	 	 
13160	 	13160	 	 	 
13170	 	13170	 	 	 
13180	 	13180	 	 	 
13190	 	13190	 	 	 
13200	 	13200	 	 	 
13210	 	13210	 	 	 
13220	 	13220	 	 	 
13230	 	13230	 	 	 
13240	 	13240	 	 	 
13250	 	13250	 	 	 
13260	 	13260	 	 	 
13270	 	13270	 	 	 
13280	 	13280	 	 	 
13290	 	13290	 	 	 
13300	 	13300	 	 	 
13310	 	13310	 	 	 
13320	 	13320	 	 	 
13330	 	13330	 	 	 
13340	 	13340	 	 	 
13350	 	13350	 	 	 
13360	 	13360	 	 	 
13370	 	13370	 	 	 
13380	 	13380	 	 	 
13390	 	13390	 	 	 
13400	 	13400	 	 	 
13410	 	13410	 	 	 
13420	 	13420	 	 	 
13430	 	13430	 	 	 
13440	 	13440	 	 	 
13450	 	13450	 	 	 
13460	 	13460	 	 	 
13470	 	13470	 	 	 
13480	 	13480	 	 	 
13490	 	13490	 	 	 
13500	 	13500	 	 	 
13510	 	13510	 	 	 
13520	 	13520	 	 	 
13530	 	13530	 	 	 
13540	 	13540	 	 	 
13550	 	13550	 	 	 
13560	 	13560	 	 	 
13570	 	13570	 	 	 
13580	 	13580	 	 	 
13590	 	13590	 	 	 
13600	 	13600	 	 	 
13610	 	13610	 	 	 
13620	 	13620	 	 	 
13630	 	13630	 	 	 
13640	 	13640	 	 	 
13650	 	13650	 	 	 
13660	 	13660	 	 	 
13670	 	13670	 	 	 
13680	 	13680	 	 	 
13690	 	13690	 	 	 
13700	 	13700	 	 	 
13710	 	13710	 	 	 
13720	 	13720	 	 	 
13730	 	13730	 	 	 
13740	 	13740	 	 	 
13750	 	13750	 	 	 
13760	 	13760	 	 	 
13770	 	13770	 	 	 
13780	 	13780	 	 	 
13790	 	13790	 	 	 
13800	 	13800	 	 	 
13810	 	13810	 	 	 
13820	 	13820	 	 	 
13830	 	13830	 	 	 
13840	 	13840	 	 	 
13850	 	13850	 	 	 
13860	 	13860	 	 	 
13870	 	13870	 	 	 
13880	 	13880	 	 	 
13890	 	13890	 	 	 
13900	 	13900	 	 	 
13910	 	13910	 	 	 
13920	 	13920	 	 	 
13930	 	13930	 	 	 
13940	 	13940	 	 	 
13950	 	13950	 	 	 
13960	 	13960	 	 	 
13970	 	13970	 	 	 
13980	 	13980	 	 	 
13990	 	13990	 	 	 
14000	 	14000	 	 	 
14010	 	14010	 	 	 
14020	 	14020	 	 	 
14030	 	14030	 	 	 
14040	 	14040	 	 	 
14050	 	14050	 	 	 
14060	 	14060	 	 	 
14070	 	14070	 	 	 
14080	 	14080	 	 	 
14090	 	14090	 	 	 
14100	 	14100	 	 	 
14110	 	14110	 	 	 
14120	 	14120	 	 	 
14130	 	14130	 	 	 
14140	 	14140	 	 	 
14150	 	14150	 	 	 
14160	 	14160	 	 	 
14170	 	14170	 	 	 
14180	 	14180	 	 	 
14190	 	14190	 	 	 
14200	 	14200	 	 	 
14210	 	14210	 	 	 
14220	 	14220	 	 	 
14230	 	14230	 	 	 
14240	 	14240	 	 	 
14250	 	14250	 	 	 
14260	 	14260	 	 	 
14270	 	14270	 	 	 
14280	 	14280	 	 	 
14290	 	14290	 	 	 
14300	 	14300	 	 	 
14310	 	14310	 	 	 
14320	 	14320	 	 	 
14330	 	14330	 	 	 
14340	 	14340	 	 	 
14350	 	14350	 	 	 
14360	 	14360	 	 	 
14370	 	14370	 	 	 
14380	 	14380	 	 	 
14390	 	14390	 	 	 
14400	 	14400	 	 	 
14410	 	14410	 	 	 
14420	 	14420	 	 	 
14430	 	14430	 	 	 
14440	 	14440	 	 	 
14450	 	14450	 	 	 
14460	 	14460	 	 	 
14470	 	14470	 	 	 
14480	 	14480	 	 	 
14490	 	14490	 	 	 
14500	 	14500	 	 	 
14510	 	14510	 	 	 
14520	 	14520	 	 	 
14530	 	14530	 	 	 
14540	 	14540	 	 	 
14550	 	14550	 	 	 
14560	 	14560	 	 	 
14570	 	14570	 	 	 
14580	 	14580	 	 	 
14590	 	14590	 	 	 
14600	 	14600	 	 	 
14610	 	14610	 	 	 
14620	 	14620	 	 	 
14630	 	14630	 	 	 
14640	 	14640	 	 	 
14650	 	14650	 	 	 
14660	 	14660	 	 	 
14670	 	14670	 	 	 
14680	 	14680	 	 	 
14690	 	14690	 	 	 
14700	 	14700	 	 	 
14710	 	14710	 	 	 
14720	 	14720	 	 	 
14730	 	14730	 	 	 
14740	 	14740	 	 	 
14750	 	14750	 	 	 
14760	 	14760	 	 	 
14770	 	14770	 	 	 
14780	 	14780	 	 	 
14790	 	14790	 	 	 
14800	 	14800	 	 	 
14810	 	14810	 	 	 
14820	 	14820	 	 	 
14830	 	14830	 	 	 
14840	 	14840	 	 	 
14850	 	14850	 	 	 
14860	 	14860	 	 	 
14870	 	14870	 	 	 
14880	 	14880	 	 	 
14890	 	14890	 	 	 
14900	 	14900	 	 	 
14910	 	14910	 	 	 
14920	 	14920	 	 	 
14930	 	14930	 	 	 
14940	 	14940	 	 	 
14950	 	14950	 	 	 
14960	 	14960	 	 	 
14970	 	14970	 	 	 
14980	 	14980	 	 	 
14990	 	14990	 	 	 
15000	 	15000	 	 	 
15010	 	15010	 	 	 
15020	 	15020	 	 	 
15030	 	15030	 	 	 
15040	 	15040	 	 	 
15050	 	15050	 	 	 
15060	 	15060	 	 	 
15070	 	15070	 	 	 
15080	 	15080	 	 	 
15090	 	15090	 	 	 
15100	 	15100	 	 	 
15110	 	15110	 	 	 
15120	 	15120	 	 	 
15130	 	15130	 	 	 
15140	 	15140	 	 	 
15150	 	15150	 	 	 
15160	 	15160	 	 	 
15170	 	15170	 	 	 
15180	 	15180	 	 	 
15190	 	15190	 	 	 
15200	 	15200	 	 	 
15210	 	15210	 	 	 
15220	 	15220	 	 	 
15230	 	15230	 	 	 
15240	 	15240	 	 	 
15250	 	15250	 	 	 
15260	 	15260	 	 	 
15270	 	15270	 	 	 
15280	 	15280	 	 	 
15290	 	15290	 	 	 
15300	 	15300	 	 	 
15310	 	15310	 	 	 
15320	 	15320	 	 	 
15330	 	15330	 	 	 
15340	 	15340	 	 	 
15350	 	15350	 	 	 
15360	 	15360	 	 	 
15370	 	15370	 	 	 
15380	 	15380	 	 	 
15390	 	15390	 	 	 
15400	 	15400	 	 	 
15410	 	15410	 	 	 
15420	 	15420	 	 	 
15430	 	15430	 	 	 
15440	 	15440	 	 	 
15450	 	15450	 	 	 
